,Nonfunctional_Feature,Origin-Num_Cat,Origin-Cat,E100-Num_Ad_Cat,E100-Ad_Cat,E100-Num_NotIn_Origin
0,hot,4,[0.         0.01980198 0.00990099 0.02970297],1,[0.],0
1,num_failed_logins,1,[0.],1,[0.],0
2,logged_in,2,[0. 1.],1,[0.],0
3,num_compromised,2,[0.         0.00125628],1,[0.],0
4,root_shell,1,[0.],1,[0.],0
5,su_attempted,1,[0.],1,[0.],0
6,num_root,1,[0.],106,"[0.0000000e+00 2.6712865e-03 7.9307030e-03 2.0848140e-03 1.2960546e-03
 1.9476712e-03 2.4962798e-04 6.4600930e-03 7.6594576e-03 1.7695501e-04
 1.3044365e-03 2.0195916e-03 2.2535100e-03 2.0025373e-03 1.2785457e-03
 2.6441664e-03 5.2397326e-04 8.7173730e-03 6.6116080e-04 3.7229806e-04
 1.2470707e-03 8.0946830e-05 8.7444710e-03 2.0965189e-04 8.9072660e-03
 1.5691109e-03 1.2632273e-03 1.2988448e-03 8.2020010e-03 6.4665080e-04
 1.7209351e-04 3.4077838e-04 5.0086826e-03 7.6323375e-03 1.4415793e-03
 1.6859062e-03 1.1672378e-03 1.0300353e-03 7.8222300e-03 8.3646920e-03
 2.0053387e-03 9.9854170e-04 1.1012778e-03 1.3664700e-03 1.3935715e-03
 1.7474219e-03 2.1813065e-04 5.7395550e-04 5.5551530e-04 5.0944460e-04
 8.2562340e-03 7.7137053e-03 2.2976026e-03 6.8712980e-04 1.8749796e-03
 2.9965490e-04 1.4731064e-03 8.1748740e-03 8.5274875e-03 1.4472492e-03
 3.4913420e-05 2.6170611e-03 3.4567565e-03 1.6102605e-03 8.0663410e-03
 8.6088700e-03 1.9161590e-03 1.1357404e-03 2.3247153e-03 8.4732400e-03
 1.8972084e-03 4.6833605e-04 6.9268420e-04 8.6133555e-04 7.8764780e-03
 9.7271055e-04 8.3376020e-03 2.3591593e-03 1.9754097e-03 4.9423426e-05
 1.3359189e-03 4.7795475e-04 9.5736235e-04 3.8678944e-04 1.3100617e-03
 2.0324253e-03 4.3680146e-04 8.4189770e-03 8.1476790e-03 1.1414215e-03
 1.6417839e-03 1.7789751e-03 1.0042377e-03 1.7130040e-03 8.2982704e-04
 1.9781850e-03 2.0533167e-03 7.9035610e-03 7.7620074e-03 7.5238420e-03
 8.6360130e-03 8.6902160e-03 7.6051800e-03 3.5530700e-04 8.7987410e-03
 7.7951030e-03]",105
7,num_file_creations,1,[0.],1,[0.],0
8,num_shells,1,[0.],1798,[0.         0.0258558  0.00612242 ... 0.01142094 0.00139099 0.00208618],1797
9,num_access_files,1,[0.],834,"[2.2913888e-03 0.0000000e+00 2.8320402e-03 2.4027005e-03 3.0265600e-03
 2.3220778e-03 3.1660572e-03 2.2629201e-03 1.2730435e-03 6.8160146e-04
 3.1657517e-03 3.3637881e-03 3.3569857e-03 2.2156984e-03 3.0947998e-03
 2.4127886e-03 2.2541806e-03 2.8125271e-03 5.9688090e-04 3.2584890e-03
 2.8834940e-03 3.0000582e-03 2.4704263e-03 8.6352230e-04 7.6591970e-06
 1.0339096e-03 1.0128319e-04 2.4532676e-03 2.4445950e-03 1.9655898e-03
 1.8113628e-03 1.4981627e-03 2.8271080e-03 2.4299547e-03 8.4608050e-04
 3.0484349e-03 2.3946539e-03 2.3596808e-03 2.4926440e-03 2.4134070e-03
 1.9781366e-03 2.2750050e-03 2.0057932e-03 3.0204207e-03 3.2529011e-03
 2.0157844e-03 3.0944870e-03 2.9298738e-03 2.8778985e-03 2.8807000e-03
 2.2669435e-03 2.3249984e-03 2.4089515e-03 2.4528578e-03 2.6978329e-03
 2.0386428e-03 2.8983653e-03 1.9862056e-03 1.5848130e-03 3.2510236e-03
 2.5779828e-03 8.2589686e-04 2.4016052e-03 2.4426356e-03 2.0869374e-03
 1.2316033e-03 1.8870085e-04 1.9965172e-03 1.0937825e-03 3.2155812e-03
 2.9231980e-03 2.9259770e-03 2.3065358e-03 1.5223771e-03 1.1391044e-03
 1.5563518e-03 2.8032735e-03 8.0416350e-04 3.1311586e-03 2.8097332e-03
 3.5233423e-03 3.4459904e-03 5.4746866e-05 3.6112220e-04 3.3549070e-03
 4.5913458e-04 3.0454100e-03 3.0976012e-03 2.4137870e-03 2.4022907e-03
 2.9543191e-03 1.6886368e-03 1.2859106e-03 3.0374154e-03 3.2617599e-03
 2.5293455e-03 2.2685230e-03 7.2702765e-04 2.3146868e-03 2.4373010e-03
 2.4794042e-03 2.4012849e-03 2.9238015e-03 2.4351030e-03 2.5602654e-03
 9.0942310e-03 3.0248463e-03 2.9533803e-03 2.8575212e-03 3.0481890e-03
 3.0512363e-03 1.1345819e-03 1.9800514e-03 2.2412017e-03 3.0028522e-03
 3.0276477e-03 2.9326752e-03 9.0844855e-03 1.4095455e-03 4.3796226e-03
 2.0521358e-03 9.1005415e-03 6.8683180e-04 2.4034232e-03 2.9347166e-03
 5.2809715e-04 2.4131164e-03 2.2746846e-03 2.9287860e-03 2.0434410e-03
 2.2005662e-03 2.4235994e-03 2.9257461e-03 3.2080188e-03 3.1685530e-03
 2.8409287e-03 3.0850992e-03 2.7877018e-03 2.4232864e-03 3.1368732e-03
 1.3667792e-03 9.9535290e-04 3.0573160e-03 1.9678324e-03 1.0444149e-03
 1.9463152e-03 2.9758662e-03 2.9571205e-03 2.2879840e-03 3.2429248e-03
 1.6639382e-04 3.3518001e-03 5.5350363e-05 2.5811270e-03 2.4274662e-03
 3.2401308e-03 1.9954816e-03 9.3113630e-04 3.0542910e-03 2.4484098e-03
 1.2038425e-03 2.9021650e-03 1.5434995e-03 9.2082170e-03 2.9724315e-03
 2.2849813e-03 1.4028996e-03 2.0441860e-03 3.0209646e-03 3.0260160e-03
 3.0972883e-03 2.9608235e-03 9.1068370e-03 1.9932464e-03 2.0160973e-03
 2.3896918e-03 5.7025626e-03 1.9698292e-03 2.8547272e-03 7.9769640e-04
 2.4386197e-03 1.3343394e-03 1.5921667e-03 2.8651133e-03 2.9287934e-03
 2.9839203e-03 9.5512120e-03 5.9308110e-04 2.8153210e-03 3.3365414e-03
 2.9242113e-03 3.4576730e-03 3.2673702e-03 2.9547587e-03 2.4177507e-03
 3.4243464e-03 2.9919520e-03 2.2813380e-03 3.0384660e-03 2.3917928e-03
 4.7172606e-04 1.2704879e-03 6.0850380e-04 3.0232295e-03 2.1923631e-03
 2.2431165e-03 2.0068140e-03 9.5266850e-04 2.9110238e-03 3.3366904e-03
 2.9944554e-03 7.7382475e-04 2.4539530e-03 3.4388230e-03 3.0458122e-03
 3.3598691e-03 2.9101744e-03 2.8220415e-03 3.0011907e-03 3.0456260e-03
 2.3254976e-03 1.2727082e-04 9.5379870e-03 3.2645613e-03 2.9522777e-03
 2.9598698e-03 3.2108128e-03 2.1198764e-03 2.4072528e-03 2.8413981e-03
 1.6594753e-03 3.0628964e-03 3.1688586e-03 2.4048015e-03 2.3156404e-03
 2.2646860e-03 2.3977607e-03 9.3857200e-03 3.0365214e-03 1.6833693e-03
 2.9904320e-03 1.3642162e-03 2.9550567e-03 2.3462474e-03 2.3112520e-03
 2.0090490e-03 2.4481118e-03 3.0237585e-03 2.2308900e-03 3.3541918e-03
 1.9987450e-03 3.3393428e-03 2.9197931e-03 1.7711818e-03 2.4046674e-03
 2.2434369e-03 2.3290664e-03 2.7276352e-03 3.3485964e-03 2.9372424e-04
 2.2857338e-03 3.0272230e-03 2.8678998e-03 1.9659027e-03 2.4694130e-03
 2.4340898e-03 3.3013150e-03 9.1829820e-03 1.9759014e-03 3.4286678e-03
 2.4187640e-03 9.6141250e-03 4.6279803e-03 3.0412600e-03 6.4852090e-04
 1.1811033e-03 2.7325526e-03 2.8877184e-03 1.9636676e-03 3.3754632e-03
 2.4053305e-03 1.9504279e-03 2.7619451e-03 2.4596304e-03 2.4407655e-03
 2.4197623e-03 2.2948757e-03 1.5822425e-03 3.0294433e-03 4.0663780e-04
 2.9972568e-03 3.4276247e-03 1.6550496e-03 3.1003952e-03 2.2508577e-03
 3.5794303e-03 2.3024455e-03 5.2191317e-05 7.3214620e-04 2.5023370e-03
 1.0548308e-03 2.9578581e-03 2.8281063e-03 1.8072128e-03 2.6744455e-03
 2.3018122e-03 3.0356570e-03 2.9989332e-03 2.7009770e-03 1.9453019e-03
 2.3153275e-03 1.9302219e-04 2.2182763e-03 4.2571127e-04 2.9956102e-03
 2.4927333e-03 1.0848604e-02 3.0670315e-03 1.8076897e-03 2.8926656e-03
 1.9865260e-03 2.0416230e-03 3.0601100e-03 2.3518652e-03 2.8905050e-03
 2.3145676e-03 2.2991374e-03 1.0000318e-03 5.1820353e-03 2.9876307e-03
 1.9588620e-03 2.5324821e-03 3.6705285e-03 1.9736513e-03 3.5027266e-03
 3.4360215e-03 2.1755920e-03 2.3829937e-03 4.7792940e-03 3.0010715e-03
 2.1404177e-03 2.3675933e-03 2.9011518e-03 3.0359253e-03 1.6346723e-03
 3.0696540e-03 9.0099950e-03 3.5766140e-03 3.7278756e-03 2.0659790e-03
 2.8456599e-03 2.4359226e-03 9.2088430e-04 2.2873506e-03 3.0235276e-03
 3.3421442e-03 6.2814206e-03 3.0291230e-03 5.6180507e-03 8.5282326e-04
 3.0337274e-03 1.7361864e-03 1.9829273e-03 2.4242997e-03 3.5682172e-03
 2.2757575e-03 5.1207766e-03 2.4603010e-03 3.2556950e-03 2.9965192e-03
 1.1297241e-03 2.6245415e-03 2.2416338e-03 3.0309185e-03 2.6866198e-03
 2.4389400e-03 2.0367130e-03 2.2519380e-03 1.4785528e-03 2.1955073e-03
 2.4529472e-03 3.3450648e-03 2.9049070e-04 2.9668286e-03 2.3362860e-03
 1.9485578e-03 1.9233227e-03 2.4550930e-03 1.2392923e-03 2.4599210e-03
 2.3148880e-03 2.2910684e-03 3.0244365e-03 2.2927895e-03 3.1339600e-03
 2.3347214e-03 1.9363314e-03 2.2419542e-03 2.2692904e-03 3.6087632e-04
 2.9271320e-03 2.0319074e-03 3.5710186e-03 2.2362694e-03 2.3635998e-03
 1.7484203e-03 1.3376996e-03 3.1142682e-03 2.4494230e-03 2.4567097e-03
 2.4668350e-03 2.4249777e-03 1.9234717e-03 3.4613907e-03 1.9125640e-04
 6.5580010e-04 3.3567846e-04 1.0154620e-03 2.8745234e-03 2.2781715e-03
 2.4337769e-03 1.3252124e-03 2.4188460e-03 2.3938715e-03 2.3134053e-03
 3.2745227e-03 2.4612322e-03 2.3256242e-03 3.2457262e-03 2.2776723e-03
 1.9478574e-03 2.3590773e-03 2.6606620e-03 2.3608506e-03 2.3248643e-03
 2.0537376e-03 2.9229522e-03 1.4044195e-03 2.9811338e-03 9.2019070e-03
 2.3939237e-03 2.4655908e-03 2.4225935e-03 2.7905107e-03 2.1995232e-03
 3.2721534e-03 1.5536249e-03 2.1151602e-03 2.6016310e-03 2.0264090e-03
 3.2612905e-03 1.3886541e-03 2.6937798e-03 2.4491102e-03 2.8783083e-03
 2.0809472e-05 2.3587868e-03 3.4575910e-04 2.9354840e-03 3.0453950e-03
 1.6748682e-03 3.2373220e-03 2.5247112e-03 3.4515932e-03 3.4487918e-03
 1.9600690e-03 3.2488555e-03 1.0408238e-03 2.3021400e-03 2.9082373e-03
 1.5409216e-03 8.2333386e-04 2.4863780e-03 2.2938848e-03 1.7893761e-03
 3.2773316e-03 3.3910350e-03 3.2166466e-03 2.1724477e-03 2.3278743e-03
 9.1892850e-03 2.9655546e-03 2.9415637e-03 2.2632629e-03 3.0263215e-03
 3.1000823e-03 2.2394060e-03 1.9968300e-03 2.8805807e-03 2.1346584e-03
 2.3928060e-03 2.4498030e-03 2.2869110e-03 2.2425503e-03 2.3030862e-03
 2.0559803e-03 2.9302463e-03 2.8599800e-04 2.4149270e-03 9.5728040e-04
 3.2263994e-04 6.6730827e-03 2.6120170e-03 3.2829344e-03 3.3490062e-03
 3.4431964e-03 3.4125150e-04 2.5769174e-03 1.1929870e-03 3.5822168e-03
 2.2598952e-03 1.2441650e-03 3.2801256e-03 3.3577085e-03 2.3532808e-03
 5.2349567e-03 2.9475614e-03 3.1619594e-03 1.4980286e-03 2.3423359e-03
 3.5055280e-03 2.5516376e-03 3.4304261e-03 3.0875653e-03 1.2277141e-03
 2.3758262e-03 2.3879632e-03 3.0540228e-03 2.4424642e-03 5.0320476e-04
 3.0916855e-03 2.4308860e-03 2.4466664e-03 2.0843819e-03 2.4717227e-03
 1.8268004e-03 7.0350620e-04 2.2769123e-03 4.6333224e-03 1.2302771e-03
 9.3095820e-03 2.2982880e-03 5.5287780e-04 2.7258098e-03 2.4442747e-03
 4.0207060e-03 2.5152415e-03 2.6156604e-03 3.0120910e-03 3.3971146e-03
 2.7620792e-03 3.2134503e-03 9.4618650e-03 1.9478649e-03 5.7232305e-03
 2.8806925e-03 3.0220374e-03 5.1517114e-03 2.0241588e-03 1.2209266e-04
 2.9660090e-03 2.3359433e-03 4.7431140e-04 9.3032640e-03 2.9203966e-03
 1.0336787e-03 2.4594516e-03 3.3974424e-03 1.6018376e-03 2.8904304e-03
 2.7804970e-03 4.4199080e-04 2.7491823e-03 2.8336942e-03 1.9408092e-03
 2.4315640e-03 2.5318414e-03 1.8613040e-04 1.9051209e-03 2.7647390e-03
 2.8502718e-03 2.9387623e-03 2.2404045e-03 2.6946515e-03 2.0364001e-03
 4.8645360e-03 2.9419660e-03 2.4889633e-03 2.0156056e-03 2.2891610e-03
 2.4589375e-03 2.0489544e-03 1.9195527e-03 2.2788420e-03 3.0397996e-03
 2.4095625e-03 6.1552970e-04 2.4354010e-03 2.0715967e-03 2.9627160e-03
 2.6848093e-03 2.2750422e-03 2.9891431e-03 2.6290193e-03 3.0293614e-03
 3.3513978e-03 2.2921488e-03 2.4302676e-03 3.0617937e-03 2.9503703e-03
 2.2660643e-03 2.5355070e-03 2.0818189e-03 1.8450171e-03 1.6214922e-03
 2.3036152e-03 2.3237094e-03 3.3686683e-03 1.1339709e-03 2.0193680e-03
 1.0026023e-03 2.4094210e-03 2.1684990e-03 2.3362562e-03 4.1894615e-04
 5.5032970e-04 3.3394843e-03 2.2654384e-03 1.9076839e-03 2.2644922e-03
 2.2796020e-03 2.2754371e-03 2.4574100e-03 2.9683560e-03 4.0555000e-03
 2.7836636e-03 2.4702550e-03 9.5983595e-04 2.3974478e-03 2.7007088e-03
 2.3262724e-03 3.2168776e-03 3.0232220e-03 3.0300245e-03 1.1365414e-03
 2.3455992e-03 2.4350210e-03 2.2810772e-03 2.4754554e-03 3.3118650e-03
 2.4347901e-03 2.3388640e-03 2.9783398e-03 2.4458990e-03 8.6376070e-04
 9.1956030e-03 1.9533560e-03 2.4855658e-03 2.4427772e-03 3.5376102e-04
 3.9118677e-03 2.8558671e-03 3.0148923e-03 2.3704767e-03 2.3259520e-03
 3.5814494e-03 1.9552857e-03 2.4092644e-03 3.2857284e-03 3.5025626e-03
 1.0171175e-02 3.5333186e-03 2.8922410e-04 8.6608530e-04 2.3639947e-03
 3.5738125e-03 3.3605024e-03 2.9467940e-03 2.4435297e-03 2.3824722e-03
 3.4332200e-03 1.9430444e-03 1.1272877e-03 2.3940280e-03 1.3177693e-03
 2.3053363e-03 2.2637323e-03 2.3484826e-03 2.4665818e-03 2.1347478e-03
 6.2280893e-04 2.2818297e-03 1.7868057e-03 1.9858852e-03 3.2107756e-03
 3.8742720e-03 2.3023486e-03 8.1090780e-03 3.2848865e-03 6.4246356e-04
 2.2912994e-03 1.9739792e-03 2.5679916e-04 2.3482890e-03 3.2460690e-03
 1.1886656e-04 1.2698919e-03 1.8139482e-03 3.6902950e-03 2.6398227e-03
 3.1629577e-03 3.4749360e-03 2.8837920e-03 3.0727684e-03 2.3126453e-03
 3.1283572e-03 3.8754940e-04 2.1314695e-03 3.1309798e-03 2.0390600e-03
 2.8330237e-03 2.9519573e-03 3.0426010e-03 1.4340729e-03 3.0288100e-03
 1.3180822e-04 5.8002770e-04 2.2013932e-03 8.3521010e-05 2.4130866e-03
 2.0283386e-03 2.5500357e-03 3.2789335e-03 2.1533594e-03 2.9947460e-03
 2.2975355e-03 2.1646246e-03 3.0328557e-03 2.4755672e-03 8.6864830e-04
 2.4750084e-04 2.9932410e-03 2.6575178e-03 3.0319318e-03 9.2145200e-03
 2.3271218e-03 4.5725033e-03 9.7453445e-03 3.5289302e-03 1.9100681e-03
 2.6182980e-03 3.2125040e-03 2.3670270e-03 2.2463128e-03 1.0497198e-03
 2.4523363e-03 2.7867928e-03 2.3297890e-03 1.9530430e-03 3.8367137e-03
 4.5117736e-04 3.0304343e-03 2.0138621e-03 2.9627680e-03 2.6151687e-03
 2.8299019e-03 2.2805110e-03 6.2120410e-03 2.4578050e-03 1.5007257e-03
 2.4166703e-03 1.6774237e-03 2.2294074e-03 2.1053850e-03 1.4069751e-03
 4.5658648e-04 2.5805086e-03 2.3932680e-03 2.2632182e-03 1.9073486e-04
 1.4372915e-03 1.5318468e-03 1.7152727e-03 1.9600838e-03 2.5427640e-03
 4.2416453e-03 1.9282699e-03 2.3378580e-03 5.6864843e-03 9.2969610e-03
 2.4397597e-03 1.0963380e-03 4.6170503e-04 2.2872314e-03 2.4586170e-03
 2.4222880e-03 1.9360036e-03 3.0393153e-03 3.2519550e-04 2.8623044e-03
 2.9491559e-03 3.0734837e-03 2.5015995e-03 1.1046529e-03 2.0260960e-03
 3.3477470e-03 2.2918284e-03 9.2208310e-03 3.5438687e-03 2.9599220e-03
 1.9738302e-03 1.3295040e-03 2.7307570e-03 1.4963150e-03 2.9987022e-03
 1.7686188e-03 2.7434080e-03 2.8862804e-03 2.4005026e-03 7.9718980e-04
 2.3124442e-03 2.5463030e-03 2.9815584e-03 3.1708480e-03 3.5261437e-03
 2.1427870e-05 1.7187521e-03 2.4184585e-03 5.1307680e-04 3.2701641e-03
 2.3381934e-03 2.4238900e-03 7.2958320e-04 1.4180020e-03]",833
