,Nonfunctional_Feature,Origin-Num_Cat,Origin-Cat,E100-Num_Ad_Cat,E100-Ad_Cat,E100-Num_NotIn_Origin
0,hot,4,[0.         0.01980198 0.00990099 0.02970297],6330,[0.06111887 0.05137157 0.05708671 ... 0.05893293 0.05942187 0.04902309],6329
1,num_failed_logins,1,[0.],1,[0.],0
2,logged_in,2,[0. 1.],1,[0.],0
3,num_compromised,2,[0.         0.00125628],14,"[0.         0.00259336 0.00602053 0.00507607 0.0034681  0.00555168
 0.01560783 0.0016801  0.001415   0.01549482 0.00023373 0.00714271
 0.00444569 0.01290034]",13
4,root_shell,1,[0.],1,[0.],0
5,su_attempted,1,[0.],1,[0.],0
6,num_root,1,[0.],1,[0.],0
7,num_file_creations,1,[0.],1,[0.],0
8,num_shells,1,[0.],465,"[0.         0.01335123 0.01421061 0.01998666 0.01466945 0.01624635
 0.02079341 0.01181406 0.01354393 0.02634972 0.02579674 0.03117827
 0.01827598 0.01448187 0.03145572 0.00176451 0.0102244  0.01461577
 0.02414775 0.01396722 0.01417896 0.02309912 0.03331205 0.01537246
 0.00633943 0.01500019 0.01465508 0.00310135 0.02470076 0.0131402
 0.00936001 0.02245417 0.01862577 0.0126445  0.01158741 0.03034779
 0.01379725 0.00603807 0.01512927 0.00315472 0.00851744 0.0087046
 0.01049718 0.0140537  0.01868683 0.01064146 0.02671829 0.03199679
 0.0200814  0.03062528 0.00685656 0.01664266 0.02340031 0.01692009
 0.00791082 0.00101894 0.00678155 0.02918589 0.01397389 0.02255803
 0.03063709 0.01465935 0.01421189 0.01397708 0.00484663 0.01863208
 0.00481558 0.00285223 0.01410222 0.0154669  0.0139595  0.01389226
 0.01213646 0.0246889  0.00934818 0.010456   0.01471996 0.00244048
 0.02909473 0.0149076  0.01838842 0.0061444  0.00179166 0.01470032
 0.00095782 0.02799872 0.014541   0.02163568 0.02497819 0.00098154
 0.00051752 0.01869866 0.01866958 0.00708041 0.01844466 0.01452985
 0.01897618 0.01179501 0.01499185 0.00357249 0.00485846 0.01416343
 0.00016287 0.01459158 0.02080521 0.01502916 0.01489633 0.01052097
 0.02033588 0.00688049 0.01383427 0.01943252 0.0076991  0.01342756
 0.01313433 0.01501203 0.01454854 0.00932419 0.02881733 0.01407808
 0.01478341 0.0146769  0.02458632 0.00078464 0.02375579 0.01315877
 0.00469577 0.00807926 0.01526529 0.013944   0.00878021 0.00070405
 0.01595703 0.0152441  0.0148989  0.01502725 0.00180349 0.01375282
 0.00233614 0.00763336 0.00551438 0.01491499 0.01881945 0.00925952
 0.01535097 0.0130491  0.01531851 0.01733404 0.01504105 0.01337248
 0.01326853 0.02459809 0.01482973 0.01820099 0.00679338 0.01023626
 0.01264608 0.03410682 0.02146193 0.00629741 0.00209942 0.02244234
 0.01742563 0.00265604 0.01433486 0.01408789 0.01548216 0.0011664
 0.01445311 0.02341214 0.01362613 0.00184929 0.0167875  0.01419324
 0.01244536 0.03249353 0.00373125 0.01416972 0.01440147 0.01362178
 0.00686848 0.01328722 0.01477745 0.02836728 0.01511833 0.0142076
 0.01295498 0.00115454 0.01477915 0.00550899 0.02062517 0.03250536
 0.01378202 0.02662712 0.03382933 0.00372654 0.00019848 0.01469123
 0.00786343 0.00181532 0.00294173 0.00374797 0.01815265 0.01419762
 0.00891206 0.02034771 0.03118381 0.01127455 0.0004622  0.0018256
 0.0030942  0.00292981 0.01780713 0.00981107 0.02964771 0.01017851
 0.01115799 0.01539108 0.00771093 0.01446331 0.02540484 0.00045046
 0.01402006 0.00613263 0.01491755 0.01848215 0.00073975 0.01829472
 0.02837911 0.0131512  0.01408356 0.00630921 0.01180688 0.01470125
 0.01103109 0.00989598 0.00985614 0.01464072 0.01472274 0.01487881
 0.01526275 0.02919772 0.01915681 0.01375008 0.01407242 0.0039733
 0.01608968 0.00852954 0.00321916 0.01500604 0.01305762 0.00403774
 0.01307672 0.0166308  0.01441696 0.00535396 0.01307374 0.0133782
 0.01857585 0.02580854 0.02542856 0.01430297 0.01346469 0.00459075
 0.00743043 0.01214823 0.01051366 0.00867012 0.01409796 0.01544628
 0.01373574 0.0274576  0.01296687 0.00376031 0.01367229 0.02835542
 0.01900685 0.0002003  0.01292357 0.01695311 0.01861391 0.00238866
 0.01814073 0.02541667 0.0239532  0.02992511 0.01489463 0.01478663
 0.0118933  0.02312279 0.00540927 0.01050904 0.00480375 0.02753687
 0.01418206 0.00615633 0.00387719 0.00581688 0.01444223 0.01513431
 0.01476794 0.01548687 0.01391041 0.01352528 0.02173939 0.00234798
 0.01896945 0.00422141 0.01479781 0.00211129 0.00129536 0.01465821
 0.01431042 0.00100699 0.01513696 0.00316656 0.0131894  0.00308231
 0.01263276 0.01430732 0.01833221 0.00858599 0.01429179 0.00715801
 0.02063152 0.0156292  0.01951724 0.0118157  0.00550732 0.01898915
 0.03464794 0.01182756 0.02161196 0.01406488 0.00070691 0.02551928
 0.01479748 0.01303044 0.00419769 0.02377951 0.01503205 0.00605011
 0.0190444  0.0056223  0.01062956 0.01825726 0.00231108 0.02145016
 0.01696497 0.01178315 0.0271683  0.01398814 0.00849375 0.02623528
 0.00945312 0.01370508 0.01878199 0.00050566 0.01210499 0.00791907
 0.00963747 0.00709224 0.01779544 0.0001885  0.01432162 0.0195291
 0.00946498 0.00308946 0.00183749 0.01510918 0.00798836 0.00871635
 0.01101929 0.0188944  0.0186508  0.01515564 0.01908186 0.00601989
 0.00390086 0.00922307 0.0068447  0.00806752 0.03465983 0.00486815
 0.02827614 0.00547877 0.01377359 0.01411655 0.00744221 0.01468805
 0.00868198 0.0045788  0.01421511 0.01145998 0.01870704 0.01572028
 0.00982288 0.00900433 0.01341575 0.00398511 0.01454535 0.00129268
 0.00307757 0.00741857 0.01448807 0.0048703  0.00420955 0.01541597
 0.01183781 0.03117192 0.00503242 0.00645268 0.01843008 0.0131703
 0.01099712 0.01543438 0.00069508 0.01442015 0.01526657 0.02910662
 0.01542258 0.01902565 0.00563413 0.01876324 0.00606197 0.02090898
 0.01384547 0.00017664 0.01846334 0.01550084 0.01778349 0.01212457
 0.01065332 0.01524648 0.01394084 0.00997576 0.00854143 0.00399697
 0.01378542 0.01246452 0.0024524  0.01502475 0.01515302 0.01614633
 0.0098483  0.01443139 0.01522642 0.01471081 0.00549555 0.0161345
 0.0158596  0.00899249 0.01895061 0.00470763 0.01209161 0.02744576
 0.01443565 0.02162376 0.01386413 0.01885691 0.03332388 0.01840717
 0.02228054 0.01491478 0.00128087]",464
9,num_access_files,1,[0.],5,[0.         0.00046227 0.00457543 0.00436997 0.00324627],4
10,num_outbound_cmds,1,[0.],1,[0.],0
11,is_host_login,1,[0.],1,[0.],0
12,is_guest_login,1,[0.],2161,"[0.0000000e+00 2.1712780e-03 9.1493130e-05 ... 6.9150627e-03 1.0045767e-03
 8.1954900e-03]",2160
