,Nonfunctional_Feature,Origin-Num_Cat,Origin-Cat,E100-Num_Ad_Cat,E100-Ad_Cat,E100-Num_NotIn_Origin
0,srv_count,12,"[0.00195695 0.00782779 0.01174168 0.00587084 0.00391389 0.73189824
 0.00978474 0.037182   0.0332681  0.0704501  0.01956947 0.12915851]",1,[0.],1
1,serror_rate,3,[0.  1.  0.5],1,[0.],0
2,srv_serror_rate,3,[0.  1.  0.5],1,[0.],0
3,rerror_rate,5,[0.   1.   0.5  0.67 0.33],1,[0.],0
4,srv_rerror_rate,4,[0.   1.   0.5  0.33],1,[0.],0
5,same_srv_rate,8,[1.   0.5  0.75 0.33 0.67 0.8  0.25 0.12],1,[1.],0
6,diff_srv_rate,6,[0.   1.   0.5  0.67 0.4  0.25],2022,[0.04981378 0.05438295 0.04297268 ... 0.06253535 0.05336422 0.04192465],2022
7,srv_diff_host_rate,4,[0.   0.67 1.   0.5 ],2025,[0.14245927 0.18257406 0.11814293 ... 0.16687807 0.15310323 0.1129742 ],2025
8,dst_host_count,254,"[0.12156863 1.         0.12941176 0.01176471 0.04313725 0.36862745
 0.59215686 0.33333333 0.00392157 0.80784314 0.01568627 0.00784314
 0.10588235 0.02352941 0.27058824 0.36470588 0.61568627 0.83921569
 0.03529412 0.34117647 0.09019608 0.67843137 0.21176471 0.60392157
 0.03137255 0.34901961 0.05490196 0.56078431 0.75686275 0.59607843
 0.73333333 0.23921569 0.41960784 0.81960784 0.01960784 0.08627451
 0.35294118 0.43529412 0.11764706 0.58039216 0.60784314 0.05882353
 0.13333333 0.02745098 0.20392157 0.78039216 0.61960784 0.23137255
 0.98431373 0.45490196 0.63137255 0.97647059 0.03921569 0.82745098
 0.64313725 0.94509804 0.44705882 0.16078431 0.30980392 0.90980392
 0.57254902 0.74901961 0.14901961 0.05098039 0.19215686 0.45882353
 0.39607843 0.38039216 0.43137255 0.65490196 0.94901961 0.56470588
 0.4745098  0.92156863 0.29019608 0.16470588 0.83529412 0.11372549
 0.99215686 0.65882353 0.0745098  0.62745098 0.54901961 0.69803922
 0.08235294 0.22352941 0.25098039 0.17254902 0.45098039 0.29803922
 0.3372549  0.6745098  0.69019608 0.78431373 0.53333333 0.68627451
 0.81568627 0.10980392 0.91372549 0.09411765 0.79215686 0.8745098
 0.91764706 0.87058824 0.18039216 0.71764706 0.9254902  0.63921569
 0.67058824 0.06666667 0.80392157 0.94117647 0.18823529 0.70588235
 0.38431373 0.48235294 0.84313725 0.99607843 0.81176471 0.88627451
 0.16862745 0.35686275 0.49803922 0.44313725 0.21960784 0.54117647
 0.97254902 0.85882353 0.23529412 0.6627451  0.20784314 0.07058824
 0.50980392 0.77254902 0.57647059 0.04705882 0.93333333 0.07843137
 0.90196078 0.75294118 0.95686275 0.89019608 0.15294118 0.70196078
 0.14117647 0.0627451  0.47058824 0.89803922 0.37647059 0.74509804
 0.85490196 0.42745098 0.71372549 0.63529412 0.7372549  0.96862745
 0.77647059 0.92941176 0.1372549  0.95294118 0.85098039 0.8627451
 0.76862745 0.96078431 0.3254902  0.2        0.40392157 0.50196078
 0.24313725 0.09803922 0.14509804 0.15686275 0.87843137 0.61176471
 0.51764706 0.47843137 0.4        0.25490196 0.28627451 0.62352941
 0.52941176 0.50588235 0.27843137 0.49019608 0.82352941 0.30588235
 0.1254902  0.18431373 0.51372549 0.48627451 0.66666667 0.55294118
 0.17647059 0.42352941 0.10196078 0.43921569 0.58823529 0.58431373
 0.88235294 0.36078431 0.49411765 0.84705882 0.52156863 0.22745098
 0.34509804 0.38823529 0.19607843 0.39215686 0.72156863 0.9372549
 0.2745098  0.76078431 0.30196078 0.21568627 0.6        0.25882353
 0.7254902  0.40784314 0.26666667 0.98823529 0.5372549  0.79607843
 0.41568627 0.8        0.29411765 0.2627451  0.83137255 0.31764706
 0.64705882 0.54509804 0.70980392 0.4627451  0.76470588 0.96470588
 0.72941176 0.74117647 0.98039216 0.37254902 0.32941176 0.68235294
 0.55686275 0.86666667 0.28235294 0.56862745 0.90588235 0.78823529
 0.31372549 0.32156863 0.69411765 0.24705882 0.65098039 0.89411765
 0.41176471 0.46666667]",2023,[0.624119   0.6834587  0.602562   ... 0.6601368  0.6376146  0.60207164],2023
9,dst_host_srv_count,255,"[0.09803922 0.41960784 0.90588235 0.99607843 0.05490196 0.85882353
 0.01176471 1.         0.14509804 0.96470588 0.88627451 0.99215686
 0.14901961 0.98431373 0.87843137 0.58823529 0.21568627 0.03529412
 0.91764706 0.98823529 0.08627451 0.18431373 0.05882353 0.96078431
 0.00784314 0.01960784 0.07843137 0.03137255 0.07058824 0.02352941
 0.05098039 0.09411765 0.19607843 0.54509804 0.45882353 0.76470588
 0.89019608 0.95294118 0.00392157 0.14117647 0.74117647 0.20784314
 0.60784314 0.0745098  0.87058824 0.53333333 0.5254902  0.02745098
 0.40784314 0.91372549 0.13333333 0.98039216 0.9254902  0.29411765
 0.20392157 0.21176471 0.34901961 0.82352941 0.55686275 0.75686275
 0.27058824 0.23921569 0.1254902  0.36078431 0.39607843 0.85098039
 0.84705882 0.83137255 0.30196078 0.16862745 0.43137255 0.5372549
 0.04313725 0.03921569 0.94117647 0.15686275 0.55294118 0.95686275
 0.29803922 0.96862745 0.09019608 0.10196078 0.64705882 0.2627451
 0.29019608 0.58039216 0.92941176 0.97647059 0.12156863 0.90980392
 0.94901961 0.56078431 0.97254902 0.43529412 0.60392157 0.10588235
 0.75294118 0.42352941 0.37254902 0.57254902 0.80784314 0.43921569
 0.32941176 0.38823529 0.16078431 0.30980392 0.16470588 0.83529412
 0.04705882 0.77647059 0.90196078 0.24313725 0.71764706 0.22745098
 0.18823529 0.49411765 0.26666667 0.0627451  0.80392157 0.11764706
 0.81568627 0.58431373 0.33333333 0.2        0.49803922 0.78823529
 0.54901961 0.89411765 0.83921569 0.35294118 0.37647059 0.76078431
 0.52941176 0.85490196 0.86666667 0.08235294 0.01568627 0.62352941
 0.8745098  0.48235294 0.23137255 0.15294118 0.40392157 0.9372549
 0.56470588 0.17254902 0.61960784 0.70980392 0.25098039 0.61568627
 0.7254902  0.06666667 0.3254902  0.38431373 0.64313725 0.31372549
 0.84313725 0.6745098  0.62745098 0.36470588 0.61176471 0.56862745
 0.22352941 0.10980392 0.31764706 0.72941176 0.82745098 0.63137255
 0.76862745 0.92156863 0.89803922 0.81176471 0.78431373 0.30588235
 0.23529412 0.39215686 0.48627451 0.93333333 0.42745098 0.49019608
 0.59215686 0.19215686 0.21960784 0.1372549  0.45098039 0.12941176
 0.69803922 0.50980392 0.45490196 0.68235294 0.8        0.35686275
 0.63529412 0.34117647 0.41176471 0.11372549 0.38039216 0.4745098
 0.67843137 0.46666667 0.94509804 0.17647059 0.88235294 0.8627451
 0.52156863 0.28627451 0.51764706 0.50588235 0.28235294 0.25490196
 0.65490196 0.34509804 0.66666667 0.70196078 0.73333333 0.79607843
 0.4        0.74509804 0.2745098  0.59607843 0.6627451  0.36862745
 0.47843137 0.24705882 0.81960784 0.57647059 0.54117647 0.65098039
 0.41568627 0.44313725 0.27843137 0.32156863 0.4627451  0.44705882
 0.70588235 0.18039216 0.63921569 0.50196078 0.51372549 0.69411765
 0.71372549 0.47058824 0.74901961 0.65882353 0.3372549  0.25882353
 0.68627451 0.6        0.7372549  0.72156863 0.67058824 0.79215686
 0.78039216 0.69019608 0.77254902]",374,"[1.         0.93923795 0.99908876 0.9769201  0.9007211  0.8439357
 0.91673803 0.9006213  0.79678893 0.8072833  0.9065281  0.8967128
 0.89172184 0.7811514  0.9226723  0.97392154 0.9934617  0.9167943
 0.8610097  0.9205648  0.82268214 0.88013434 0.92715156 0.90803456
 0.9091244  0.9812846  0.9488692  0.8519274  0.8827394  0.94722915
 0.7965604  0.9690012  0.9934988  0.92194414 0.995546   0.91635394
 0.93552303 0.9207227  0.88494    0.90575635 0.90802956 0.88079596
 0.9143666  0.9956101  0.9927652  0.95064056 0.80814517 0.9088731
 0.90356636 0.9626975  0.8916826  0.90600073 0.8933939  0.90698934
 0.8718746  0.93325627 0.9074414  0.82338643 0.88861334 0.8687341
 0.86510324 0.88121486 0.9850017  0.9968358  0.99690664 0.9149606
 0.89345396 0.89947534 0.9679351  0.79062414 0.91910267 0.94145393
 0.975826   0.962129   0.9970274  0.9784845  0.98361945 0.9824425
 0.8900312  0.8752303  0.99168384 0.9373275  0.98829937 0.87815547
 0.9029716  0.8666979  0.9216244  0.9624474  0.9795977  0.98925996
 0.8934288  0.8969772  0.9521495  0.79047275 0.9159862  0.9960973
 0.9027513  0.90703726 0.9257996  0.9135877  0.90506256 0.97216594
 0.94672143 0.9503716  0.9462142  0.90258276 0.9543575  0.9755616
 0.92308426 0.9505094  0.99478865 0.8635465  0.90169835 0.9216931
 0.9217603  0.91171384 0.89722896 0.8337991  0.9999764  0.9009125
 0.9223628  0.875015   0.90476775 0.9953351  0.9666991  0.9677944
 0.82743263 0.9977374  0.90194607 0.9019681  0.97719884 0.89416194
 0.9003346  0.9011557  0.8976071  0.9041711  0.8306738  0.9610573
 0.9231131  0.786711   0.8677269  0.8150784  0.88429236 0.9597318
 0.8794899  0.902771   0.95680237 0.9635731  0.8714329  0.9721533
 0.966117   0.8543265  0.99727833 0.97524977 0.9210322  0.9044111
 0.80944896 0.8841357  0.90091074 0.9357374  0.8918704  0.77997005
 0.9339546  0.9212526  0.9233638  0.8836907  0.9217236  0.9405961
 0.93639684 0.9419234  0.9460883  0.9255115  0.94012356 0.943094
 0.99205494 0.97064126 0.88304126 0.8519088  0.96149826 0.94752955
 0.9535222  0.9035965  0.90630865 0.90443003 0.98814905 0.80275357
 0.9981288  0.9973825  0.8260206  0.9927541  0.7789593  0.9132134
 0.9673611  0.9080528  0.9924114  0.83407307 0.90231824 0.8589542
 0.94273853 0.89757085 0.9985467  0.9579538  0.9942577  0.92879176
 0.92030406 0.9910327  0.8340626  0.95053065 0.94623446 0.92500377
 0.8944303  0.84160936 0.9823619  0.9960786  0.96272016 0.9206172
 0.8197336  0.9774661  0.89069545 0.8211597  0.85916924 0.977458
 0.83240855 0.85322845 0.98525953 0.9218708  0.98579776 0.90868187
 0.91908264 0.83748686 0.8722805  0.9186803  0.8924701  0.90930855
 0.9370043  0.79576445 0.78794074 0.98689973 0.847939   0.8548852
 0.9275559  0.8520764  0.9694325  0.980479   0.99472976 0.8857299
 0.8563689  0.8946847  0.9085823  0.89158857 0.82091725 0.88509846
 0.8487961  0.92362094 0.9505776  0.9101778  0.89189196 0.9115733
 0.85799456 0.8340074  0.96543086 0.9391303  0.93567574 0.91299534
 0.85178494 0.95217645 0.92245185 0.8866645  0.98480916 0.9502475
 0.8657353  0.95884895 0.88927937 0.99387765 0.8811581  0.8841139
 0.8714986  0.99217427 0.8830775  0.97747684 0.98797786 0.8472867
 0.94106364 0.82722986 0.8906863  0.9183017  0.9280635  0.9861381
 0.9632231  0.95535827 0.8624532  0.9125643  0.89756024 0.9026158
 0.78814805 0.93500113 0.9537183  0.9240918  0.9466386  0.9732822
 0.91511273 0.9652133  0.9007052  0.8149078  0.78047705 0.990093
 0.8797622  0.9981396  0.8455223  0.8805243  0.77875555 0.91461873
 0.850986   0.95226073 0.8675842  0.82519686 0.9129113  0.90843284
 0.98962474 0.9233333  0.97927105 0.9140209  0.8634683  0.90935624
 0.961583   0.92448854 0.94207025 0.9635587  0.92398465 0.95699835
 0.9937662  0.90761673 0.97995925 0.9001585  0.96063256 0.9019362
 0.85028994 0.8948623  0.9035579  0.8779117  0.8833506  0.95994294
 0.88000596 0.8655937  0.8904189  0.92778945 0.9328635  0.9772258
 0.9060732  0.9010806  0.9830997  0.82368374 0.8872665  0.8726684
 0.93731594 0.96489215 0.93981373 0.92861235 0.9072211  0.8532566
 0.92827    0.90443325 0.8988277  0.8858799  0.9036839  0.8822682
 0.889258   0.96901214 0.91459453 0.97228134 0.89261055 0.938956
 0.92652154 0.9136404 ]",373
