,Nonfunctional_Feature,Origin-Num_Cat,Origin-Cat,E0-Num_Ad_Cat,E0-Ad_Cat,E0-Num_NotIn_Origin
0,hot,4,[0.         0.01980198 0.00990099 0.02970297],992,"[1.         0.99985313 0.9926331  0.97726697 0.9572465  0.93275356
 0.86005026 0.9345775  0.84812176 0.9633318  0.9645577  0.9971514
 0.8625865  0.9945847  0.92013377 0.96867436 0.99143237 0.99697536
 0.9774927  0.9221173  0.88200974 0.97236466 0.8591872  0.97588795
 0.9688846  0.90698487 0.9516978  0.9415791  0.8272113  0.8834585
 0.9914617  0.99998754 0.9312307  0.8901225  0.9895899  0.92256004
 0.99211097 0.85505134 0.87913245 0.813233   0.98268217 0.8500888
 0.8976029  0.9029198  0.9771477  0.9145582  0.9857125  0.7293227
 0.9805305  0.9320311  0.99387515 0.96839076 0.9384629  0.9069454
 0.9536195  0.98571455 0.96375644 0.93738896 0.94243526 0.99307334
 0.99954    0.9878447  0.9682608  0.99020135 0.86017895 0.92623705
 0.952027   0.8996995  0.88210744 0.9293406  0.8784271  0.99243814
 0.94777393 0.8356698  0.9872334  0.9671326  0.8775676  0.87284297
 0.88510424 0.97591376 0.8799066  0.8696183  0.982524   0.9759989
 0.9846806  0.984455   0.956459   0.9938633  0.9617198  0.9561844
 0.9712382  0.874268   0.94320047 0.89702094 0.99756044 0.99770325
 0.8405414  0.8387648  0.9660712  0.99141735 0.9858416  0.95530534
 0.9048265  0.95833945 0.97690946 0.95123374 0.995745   0.88951355
 0.99294436 0.8715192  0.9654888  0.94632924 0.9547875  0.99058676
 0.97086173 0.9155354  0.8262922  0.9232011  0.86958027 0.996611
 0.97140676 0.98411965 0.8300274  0.99710906 0.956555   0.98519576
 0.9577073  0.9735191  0.98085827 0.8786365  0.95139045 0.9886117
 0.8324611  0.957258   0.9061905  0.9847473  0.94256043 0.9537368
 0.972203   0.9237352  0.97112054 0.8978852  0.9594153  0.95283014
 0.9670957  0.93492955 0.9709257  0.9501134  0.9788614  0.98038995
 0.88068485 0.9816094  0.94014996 0.8410559  0.98005694 0.98673534
 0.8552319  0.99330956 0.93916094 0.9226925  0.9489661  0.94464564
 0.994544   0.9682066  0.9680747  0.99994165 0.95214546 0.7968941
 0.9710866  0.9159643  0.91162187 0.97459114 0.8894632  0.9802004
 0.95456284 0.9663347  0.96819603 0.78515136 0.9559585  0.9590018
 0.97834975 0.89049363 0.9769571  0.83560574 0.9951685  0.71296215
 0.8453606  0.95062906 0.9928651  0.88880295 0.9246743  0.9145421
 0.94637144 0.9732566  0.9672415  0.9372949  0.9811263  0.9787363
 0.84425646 0.8841526  0.9380815  0.954829   0.91798824 0.9905339
 0.9340534  0.9647592  0.9624326  0.9695853  0.9853424  0.990918
 0.97396153 0.9955958  0.9677026  0.98201066 0.8538292  0.9666186
 0.981369   0.9986327  0.99889773 0.8614377  0.9810663  0.8729975
 0.9645531  0.76985127 0.92275405 0.94353276 0.9785828  0.955501
 0.9635744  0.9867754  0.99223244 0.9255642  0.8712704  0.9798726
 0.8411904  0.95749    0.85890037 0.98573124 0.9591372  0.9450165
 0.8956173  0.9938692  0.98009884 0.83379143 0.98600715 0.98002297
 0.99202615 0.97559947 0.9992697  0.9813468  0.9935721  0.9565822
 0.9805634  0.9859218  0.9000532  0.8661406  0.9071855  0.9420159
 0.9013031  0.974665   0.9324521  0.98332083 0.9615768  0.99527985
 0.9896296  0.9997226  0.9632944  0.9262578  0.89988256 0.9377026
 0.9786874  0.95303625 0.973025   0.93454003 0.9343346  0.96607596
 0.943984   0.8423268  0.9898195  0.9791155  0.9653831  0.9847035
 0.9271768  0.981601   0.99655986 0.9930378  0.89541024 0.93794405
 0.9269618  0.85972774 0.97380024 0.97896564 0.9118299  0.90525246
 0.936279   0.88237256 0.98890305 0.98425186 0.88226527 0.99894035
 0.99260753 0.8527798  0.9634773  0.9722597  0.98960435 0.91430265
 0.9985697  0.9595099  0.97125244 0.9771661  0.91714406 0.9331798
 0.9737257  0.93238735 0.9969709  0.9442346  0.99127704 0.9649377
 0.8957687  0.9475687  0.92366326 0.9100981  0.9457145  0.9677328
 0.9865916  0.9891327  0.9688243  0.9654759  0.966735   0.95024574
 0.96512365 0.99259627 0.91603345 0.92215973 0.9360544  0.9601895
 0.9759892  0.9962384  0.937698   0.95829535 0.94056714 0.97737104
 0.9818322  0.94858086 0.9602215  0.95212907 0.9601675  0.9934332
 0.99926203 0.942708   0.9856054  0.9752261  0.9366032  0.9139272
 0.94781417 0.9820674  0.94842887 0.9106602  0.9201486  0.9831915
 0.9682829  0.9535092  0.9455746  0.993652   0.95117426 0.8868126
 0.9820319  0.9636682  0.94091606 0.99545157 0.8786931  0.947267
 0.83136123 0.97488767 0.9417243  0.837023   0.93799496 0.92947817
 0.99274194 0.9480124  0.9970362  0.8570463  0.98788905 0.9788789
 0.90786123 0.79800564 0.99580675 0.96310556 0.9938189  0.9928994
 0.8899763  0.94926506 0.7954883  0.95086354 0.99793047 0.98257923
 0.9939765  0.98021066 0.841139   0.973461   0.9966531  0.99871093
 0.90863055 0.8359689  0.9782929  0.97937113 0.9524551  0.89077187
 0.8887468  0.9462875  0.8260994  0.8769052  0.85367036 0.9923006
 0.9274772  0.8714865  0.9802482  0.8781551  0.9824221  0.97150785
 0.94576937 0.8495925  0.98014367 0.9885414  0.9641101  0.9716643
 0.97392076 0.9608246  0.9792928  0.9563146  0.9798637  0.9667697
 0.96830326 0.88643605 0.98046553 0.9905937  0.854934   0.9268901
 0.92401695 0.9793091  0.8606514  0.99384534 0.93723047 0.9585343
 0.9054672  0.93087983 0.9646141  0.9357008  0.7974116  0.9037091
 0.9914151  0.989481   0.96059996 0.9212664  0.9707682  0.85014457
 0.9085396  0.9377401  0.9374101  0.93980026 0.95738524 0.9739192
 0.94411516 0.9807834  0.97402936 0.89958423 0.98989666 0.8925563
 0.9874738  0.97699934 0.9677207  0.9706901  0.96009207 0.98027956
 0.9342479  0.98719764 0.8518675  0.94914556 0.88412315 0.9399098
 0.9971584  0.91088194 0.9371467  0.9469043  0.94759315 0.94700205
 0.85705733 0.99899614 0.93786156 0.9282986  0.9642718  0.915307
 0.969792   0.95752376 0.93957585 0.9370433  0.9038704  0.9336627
 0.7934698  0.9711402  0.9443005  0.82723105 0.9269215  0.9720868
 0.86985946 0.92318064 0.9799194  0.96927345 0.8957331  0.9494549
 0.93522656 0.9629822  0.8147144  0.9641599  0.85914785 0.97515213
 0.96770245 0.9959154  0.98815644 0.9507481  0.9570461  0.9036579
 0.98993075 0.9549542  0.9995663  0.90654075 0.9570808  0.9823548
 0.9860614  0.9588005  0.9539379  0.9286535  0.9236037  0.94255644
 0.9239737  0.9223925  0.8826672  0.9108922  0.9161566  0.8792541
 0.93174666 0.9527645  0.8725399  0.94757843 0.99406683 0.93181527
 0.95191306 0.872509   0.94520426 0.9473692  0.98167217 0.9007104
 0.92379606 0.88380855 0.9603968  0.9542568  0.94685537 0.9685513
 0.93871677 0.99747324 0.9821305  0.9684375  0.9674216  0.9316874
 0.98396534 0.90724874 0.96192396 0.9496734  0.90741915 0.9876897
 0.8516331  0.9609022  0.8770686  0.97668886 0.9591767  0.9289676
 0.99396604 0.9404229  0.9716708  0.9782281  0.9844836  0.9759248
 0.95745796 0.90751284 0.9786457  0.92211    0.99215204 0.95204353
 0.95799226 0.97853696 0.8057805  0.994723   0.98723954 0.9722353
 0.9715412  0.9071943  0.9477651  0.9174904  0.98814654 0.89139
 0.99613214 0.9549299  0.80824906 0.8674375  0.9321198  0.97732896
 0.9415433  0.98360145 0.9041953  0.9916078  0.96606684 0.9738804
 0.8960097  0.87196815 0.93649435 0.9836055  0.9983443  0.94544965
 0.9706878  0.9342168  0.9942605  0.9822699  0.9857977  0.97468805
 0.9358792  0.94362223 0.9297023  0.99793726 0.9910083  0.9143278
 0.9585847  0.876801   0.98423386 0.9620069  0.9629201  0.9201767
 0.96768683 0.7987384  0.9188441  0.9528503  0.9737209  0.8676528
 0.9665832  0.99333024 0.99182886 0.9984497  0.9819686  0.92249733
 0.93397504 0.95526403 0.8477256  0.99793684 0.9453598  0.99210024
 0.90358067 0.97493887 0.9774058  0.92612475 0.78887975 0.98139215
 0.96378577 0.8235298  0.99840903 0.96665347 0.9866561  0.97914803
 0.9972889  0.95388037 0.9062643  0.98824775 0.99987215 0.9891919
 0.8875956  0.9359867  0.9660529  0.98011976 0.9454779  0.9133983
 0.8670106  0.9119396  0.9960429  0.8715548  0.9104094  0.9299982
 0.8644547  0.8683829  0.9344798  0.99329305 0.9224951  0.9495269
 0.9895731  0.97747856 0.9640462  0.95297885 0.9490023  0.9910497
 0.9400457  0.9633873  0.87528265 0.8970348  0.94459015 0.9307169
 0.7748102  0.9989651  0.99386925 0.99807125 0.90202296 0.9130416
 0.98922294 0.9755999  0.96988475 0.99408025 0.9705495  0.9847939
 0.8567307  0.8783232  0.9966289  0.8987037  0.98606527 0.9893465
 0.85361165 0.97327524 0.9693748  0.9444648  0.92055887 0.97469217
 0.9568699  0.9492121  0.84716827 0.8693093  0.9800772  0.92162246
 0.88970566 0.843001   0.99298394 0.9236685  0.9101393  0.8450809
 0.7598465  0.9305509  0.9972061  0.9876741  0.94570327 0.95400774
 0.8425218  0.9921794  0.97748196 0.9875379  0.84659815 0.94261783
 0.98173475 0.9859042  0.9885398  0.96734655 0.89276206 0.94198626
 0.9194417  0.99786496 0.968963   0.9716528  0.99284744 0.9710472
 0.9551314  0.90772563 0.9387797  0.94577265 0.9714167  0.9950158
 0.91267294 0.8611208  0.9654632  0.91865784 0.97498876 0.9423913
 0.99404114 0.9299635  0.98061836 0.95436764 0.949073   0.9357468
 0.87216866 0.94022864 0.92756176 0.94436705 0.9727854  0.9798468
 0.878129   0.96580744 0.98487264 0.9505754  0.90022284 0.9007097
 0.9493909  0.9973141  0.9486228  0.8638903  0.9970354  0.92891073
 0.99027824 0.9934136  0.9908025  0.8965592  0.8845632  0.9801101
 0.88889873 0.97352225 0.98506576 0.9626527  0.99784154 0.9756459
 0.88228893 0.92115116 0.97379345 0.8833283  0.97212386 0.9594658
 0.90783656 0.9477801  0.8410968  0.957325   0.94460917 0.956641
 0.8373714  0.87785715 0.9600282  0.9735361  0.98277414 0.97220266
 0.99270004 0.9933756  0.99399596 0.9649155  0.9737015  0.9220372
 0.83226544 0.9357081  0.9191668  0.9906903  0.96764165 0.89035255
 0.98832434 0.9881591  0.9314805  0.99383956 0.96829194 0.963558
 0.98875666 0.80609024 0.96754074 0.96127707 0.94943064 0.98899513
 0.9858132  0.98320705 0.9825478  0.88756436 0.9285968  0.8762136
 0.9333254  0.95555604 0.9652777  0.9384143  0.9916055  0.9396104
 0.9183363  0.8294248  0.9279237  0.9290037  0.9835664  0.9101357
 0.9733974  0.9980595  0.9142741  0.96500874 0.95931107 0.97177905
 0.86625534 0.99250346 0.9734524  0.96245867 0.9687809  0.9960205
 0.990956   0.92092484 0.9188915  0.9939109  0.9936089  0.9635705
 0.9780593  0.9966627  0.9889409  0.99647963 0.9920794  0.9931774
 0.95150435 0.98405427 0.9725111  0.9790304  0.87716585 0.80432975
 0.8987077  0.9758572  0.92039806 0.94924736 0.90747726 0.9055101
 0.9785982  0.9075717  0.9888227  0.9897332  0.9342653  0.99832696
 0.9643062  0.9754368  0.9751103  0.98694605 0.966811   0.9642919
 0.9200549  0.9615773  0.96542406 0.95319784 0.97804165 0.97290355
 0.9605432  0.96065456 0.9686064  0.979775   0.79498225 0.9677829
 0.937022   0.9249527  0.82426715 0.93153703 0.9841514  0.9433885
 0.89746344 0.98455185 0.9797634  0.9668451  0.9636557  0.9875104
 0.99262106 0.99411845 0.993929   0.9864813  0.98537064 0.9393454
 0.9002787  0.97988945 0.9675741  0.9575998  0.98069626 0.9032299
 0.99651974 0.97729653 0.9926923  0.97723204 0.9669217  0.99783933
 0.8470678  0.99653107 0.9997399  0.9254265  0.98601013 0.98875415
 0.78575855 0.96408105 0.98898065 0.8829476  0.99819493 0.9244536
 0.9548576  0.9547128  0.96631914 0.9821365  0.89110625 0.97583747
 0.9394651  0.9047486  0.80464906 0.96078587 0.96432436 0.91359943
 0.9842104  0.98019683 0.9788534  0.99146837 0.93416965 0.9694763
 0.8927135  0.97894704]",992
1,num_failed_logins,1,[0.],3704,[1.         0.95735    0.9828274  ... 0.85457957 0.938982   0.9371346 ],3704
2,logged_in,2,[0. 1.],7412,[0.22256142 0.3183303  0.29270726 ... 0.36928457 0.35645998 0.32669938],7411
3,num_compromised,2,[0.         0.00125628],69,"[1.         0.9956418  0.9893454  0.97862405 0.9979789  0.9695304
 0.9906486  0.86964685 0.9934821  0.9787913  0.975631   0.98505014
 0.96043813 0.9694934  0.9857464  0.98416597 0.98600256 0.9366275
 0.9517184  0.9764552  0.8777436  0.98652935 0.98956656 0.9880834
 0.9230712  0.97448444 0.9867906  0.99305683 0.9999262  0.9840722
 0.95253783 0.9438319  0.9572512  0.9847535  0.97656894 0.9815391
 0.9963006  0.99785584 0.9368256  0.99793625 0.9954295  0.9294511
 0.99590474 0.9596466  0.9627543  0.9594753  0.9509876  0.93343645
 0.9669344  0.9929131  0.9194658  0.9972487  0.9979147  0.9851597
 0.9873824  0.9828007  0.91923976 0.9718136  0.9881518  0.98059833
 0.9812769  0.9739277  0.9424383  0.9553503  0.96092576 0.94362646
 0.96184397 0.93468285 0.95601547]",69
4,root_shell,1,[0.],7212,[0.8962491  0.9764284  0.95651126 ... 0.9212124  0.8970932  0.9955346 ],7212
5,su_attempted,1,[0.],7416,[0.7253909  0.8029058  0.7894971  ... 0.84950703 0.8512582  0.8165285 ],7416
6,num_root,1,[0.],7416,[0.72325146 0.78990984 0.77491546 ... 0.8287735  0.82390714 0.7997421 ],7416
7,num_file_creations,1,[0.],1,[1.],1
8,num_shells,1,[0.],133,"[1.         0.95163023 0.96034217 0.96297204 0.99691176 0.9675592
 0.9200715  0.9906727  0.995937   0.9603461  0.8999679  0.94767
 0.7564733  0.97036827 0.98420453 0.9315822  0.9951196  0.97242427
 0.9844022  0.9767468  0.9833838  0.92084    0.9407885  0.98042583
 0.90655506 0.9840182  0.9299506  0.982285   0.9262351  0.9326637
 0.9541646  0.8718566  0.8663596  0.9273952  0.75958395 0.9359876
 0.93106425 0.95656955 0.9649068  0.97871244 0.82078826 0.9728216
 0.9232601  0.97269595 0.9212402  0.98577154 0.93551123 0.96492493
 0.9967222  0.99066556 0.956323   0.9901862  0.94012964 0.9245651
 0.96654546 0.8658329  0.8687023  0.92404974 0.92195857 0.9264376
 0.991994   0.94964886 0.98861086 0.9880047  0.95282555 0.9517349
 0.9580114  0.8726839  0.9793483  0.9437305  0.9819393  0.9545698
 0.84421414 0.93040836 0.98720276 0.88834023 0.97361565 0.9914721
 0.9992293  0.99208844 0.9628531  0.9901537  0.88760126 0.9958761
 0.8894732  0.9904729  0.97917795 0.99790835 0.87689817 0.9842044
 0.9566927  0.8550267  0.91756225 0.9936873  0.9697503  0.9854064
 0.97463775 0.9460262  0.9903058  0.82803583 0.9648906  0.9633485
 0.94092155 0.9812112  0.9958339  0.93619645 0.9480591  0.81921333
 0.92331755 0.9508693  0.9972936  0.977682   0.99023914 0.9932456
 0.9551953  0.992272   0.9955143  0.92633843 0.94249046 0.9243512
 0.8688632  0.9924761  0.99278283 0.9019643  0.9727757  0.99144506
 0.89321923 0.8696798  0.9097775  0.9466225  0.8443195  0.99754906
 0.9014492 ]",133
9,num_access_files,1,[0.],7420,[0.5585581  0.64406    0.61951584 ... 0.6902922  0.68226784 0.6562076 ],7420
