,Nonfunctional_Feature,Origin-Num_Cat,Origin-Cat,E100-Num_Ad_Cat,E100-Ad_Cat,E100-Num_NotIn_Origin
0,srv_count,12,"[0.00195695 0.00782779 0.01174168 0.00587084 0.00391389 0.73189824
 0.00978474 0.037182   0.0332681  0.0704501  0.01956947 0.12915851]",2024,[0.04070979 0.0328723  0.1155301  ... 0.12121436 0.05831832 0.11629081],2024
1,serror_rate,3,[0.  1.  0.5],1,[0.],0
2,srv_serror_rate,3,[0.  1.  0.5],1,[0.],0
3,rerror_rate,5,[0.   1.   0.5  0.67 0.33],1,[0.],0
4,srv_rerror_rate,4,[0.   1.   0.5  0.33],1,[0.],0
5,same_srv_rate,8,[1.   0.5  0.75 0.33 0.67 0.8  0.25 0.12],405,"[1.         0.8968764  0.9880801  0.9663196  0.8861318  0.9239626
 0.9994464  0.96638125 0.9771143  0.996886   0.9411475  0.8854208
 0.9071446  0.9955353  0.98889667 0.99727494 0.95020545 0.9610439
 0.9596834  0.95903087 0.98520976 0.95537186 0.9238625  0.949336
 0.9429622  0.97871953 0.91948134 0.9859952  0.94714284 0.96610826
 0.98887384 0.8464276  0.9820636  0.8534899  0.9668146  0.87085754
 0.9432533  0.9248024  0.9832515  0.98241484 0.9441843  0.8992318
 0.96574616 0.9278285  0.9670134  0.95887643 0.9979713  0.98069674
 0.986749   0.8718884  0.9862303  0.9047209  0.99533504 0.99642414
 0.9273941  0.9522486  0.86439854 0.95076984 0.97457224 0.9592829
 0.9751004  0.98434204 0.94185984 0.895223   0.9028819  0.9034082
 0.9788058  0.9724536  0.9494904  0.89455706 0.91108805 0.8821858
 0.9631602  0.9670674  0.975578   0.99562407 0.9556653  0.91439396
 0.9576705  0.9762691  0.99150026 0.9277339  0.9827169  0.90210724
 0.86896014 0.97059625 0.97343975 0.9433094  0.9532674  0.96719414
 0.8838804  0.9996089  0.94556844 0.99977195 0.9499826  0.95105404
 0.9777721  0.97080564 0.8769881  0.9901234  0.9914912  0.90194356
 0.9781881  0.99029464 0.8919551  0.97576904 0.9333433  0.9325692
 0.9145557  0.92625266 0.9054016  0.98582304 0.84007025 0.83667135
 0.92081386 0.9189381  0.9955497  0.9885589  0.97452605 0.988045
 0.9778251  0.9462683  0.9710181  0.979028   0.8737959  0.8280606
 0.90886265 0.97634035 0.9937057  0.9966754  0.98323566 0.9671088
 0.95779973 0.98758906 0.9324688  0.94971836 0.9832004  0.9908831
 0.85258716 0.9743522  0.88316    0.9676176  0.9640342  0.9633293
 0.9455979  0.88691425 0.9586234  0.9470533  0.8747049  0.9126936
 0.9115211  0.99052984 0.9413212  0.9646388  0.8607652  0.9970473
 0.99195623 0.9488497  0.9871705  0.9471688  0.9992625  0.9743438
 0.9773899  0.8938108  0.96221316 0.92256266 0.975375   0.98413384
 0.98105603 0.8747218  0.9531235  0.94525844 0.9859566  0.90566313
 0.89126813 0.9801059  0.9749814  0.9798121  0.95989084 0.9829423
 0.9614137  0.9951397  0.98895395 0.829484   0.874972   0.91995317
 0.9712434  0.9813572  0.91361564 0.9260983  0.83383316 0.90953124
 0.8212733  0.85733515 0.9446559  0.90894836 0.9432316  0.94901556
 0.97968036 0.9854506  0.99078035 0.95810485 0.959751   0.97211426
 0.9138502  0.9497242  0.95360345 0.9188379  0.9926319  0.9686294
 0.87175554 0.9924985  0.99907315 0.8227165  0.9760426  0.9480954
 0.8719649  0.9505142  0.95441335 0.9735916  0.97163314 0.85465837
 0.93180484 0.99876857 0.99994737 0.9567479  0.88053936 0.95965314
 0.9831258  0.994286   0.97186756 0.9873668  0.8773123  0.9825315
 0.8516685  0.99849665 0.86609584 0.8926641  0.95877856 0.94582975
 0.93438363 0.90575516 0.9985889  0.9788347  0.89264154 0.9001983
 0.90651137 0.9615061  0.95192844 0.8470728  0.9380782  0.9575757
 0.9857711  0.8747019  0.9941599  0.9557959  0.95447797 0.80381525
 0.8823978  0.8846771  0.96085864 0.98020023 0.95537555 0.95769775
 0.9422217  0.9998677  0.95961577 0.88461274 0.9283633  0.9761921
 0.88706577 0.8959959  0.95702636 0.9623615  0.9906862  0.9251059
 0.86604905 0.96345425 0.97781235 0.87917435 0.97104216 0.99253887
 0.9964098  0.998929   0.9588547  0.96840465 0.8789576  0.9981089
 0.854699   0.9898526  0.98276603 0.96846527 0.9645968  0.95982593
 0.9985401  0.9676306  0.9472583  0.93192285 0.9122958  0.9912301
 0.8778071  0.98300594 0.92126894 0.93638    0.8883056  0.99142843
 0.93085206 0.96041495 0.955759   0.9866825  0.95099    0.8613167
 0.9106026  0.9453156  0.9127411  0.8737389  0.88858616 0.89097613
 0.9625304  0.92062056 0.95621073 0.88694024 0.9733832  0.9192385
 0.9522225  0.9306456  0.8261744  0.93252414 0.9798223  0.9043876
 0.9304522  0.96031076 0.91836923 0.924552   0.9630728  0.8879609
 0.96695805 0.9765733  0.826986   0.97461605 0.98940134 0.95700544
 0.9471325  0.9838444  0.97198147 0.87164795 0.96273047 0.886529
 0.9993752  0.9407781  0.9634227  0.973009   0.8463263  0.95522976
 0.9627095  0.9097649  0.9624457  0.9677364  0.85771525 0.9636151
 0.9596394  0.9583278  0.98718274 0.98404694 0.96314794 0.90465903
 0.839746   0.99948674 0.9976883  0.97133744 0.85472494 0.91358113
 0.9743109  0.9999695  0.9828178  0.99062574 0.95167154 0.9876494
 0.95848405 0.9372913  0.93733233 0.95837206 0.9342776  0.9953797
 0.9945184  0.86153144 0.91307837 0.99878114 0.95383036 0.82817143
 0.9381217  0.95583975 0.88716    0.9720874  0.99387217 0.7679476
 0.96140873 0.86850816 0.96733356 0.8612515  0.98325926 0.9253791
 0.956087   0.95426345 0.9865938 ]",404
6,diff_srv_rate,6,[0.   1.   0.5  0.67 0.4  0.25],2019,[0.01184829 0.01186299 0.01539202 ... 0.00840042 0.00841378 0.01007257],2019
7,srv_diff_host_rate,4,[0.   0.67 1.   0.5 ],2022,[0.3073066  0.30418235 0.33738205 ... 0.3386764  0.3148051  0.3370418 ],2022
8,dst_host_count,254,"[0.12156863 1.         0.12941176 0.01176471 0.04313725 0.36862745
 0.59215686 0.33333333 0.00392157 0.80784314 0.01568627 0.00784314
 0.10588235 0.02352941 0.27058824 0.36470588 0.61568627 0.83921569
 0.03529412 0.34117647 0.09019608 0.67843137 0.21176471 0.60392157
 0.03137255 0.34901961 0.05490196 0.56078431 0.75686275 0.59607843
 0.73333333 0.23921569 0.41960784 0.81960784 0.01960784 0.08627451
 0.35294118 0.43529412 0.11764706 0.58039216 0.60784314 0.05882353
 0.13333333 0.02745098 0.20392157 0.78039216 0.61960784 0.23137255
 0.98431373 0.45490196 0.63137255 0.97647059 0.03921569 0.82745098
 0.64313725 0.94509804 0.44705882 0.16078431 0.30980392 0.90980392
 0.57254902 0.74901961 0.14901961 0.05098039 0.19215686 0.45882353
 0.39607843 0.38039216 0.43137255 0.65490196 0.94901961 0.56470588
 0.4745098  0.92156863 0.29019608 0.16470588 0.83529412 0.11372549
 0.99215686 0.65882353 0.0745098  0.62745098 0.54901961 0.69803922
 0.08235294 0.22352941 0.25098039 0.17254902 0.45098039 0.29803922
 0.3372549  0.6745098  0.69019608 0.78431373 0.53333333 0.68627451
 0.81568627 0.10980392 0.91372549 0.09411765 0.79215686 0.8745098
 0.91764706 0.87058824 0.18039216 0.71764706 0.9254902  0.63921569
 0.67058824 0.06666667 0.80392157 0.94117647 0.18823529 0.70588235
 0.38431373 0.48235294 0.84313725 0.99607843 0.81176471 0.88627451
 0.16862745 0.35686275 0.49803922 0.44313725 0.21960784 0.54117647
 0.97254902 0.85882353 0.23529412 0.6627451  0.20784314 0.07058824
 0.50980392 0.77254902 0.57647059 0.04705882 0.93333333 0.07843137
 0.90196078 0.75294118 0.95686275 0.89019608 0.15294118 0.70196078
 0.14117647 0.0627451  0.47058824 0.89803922 0.37647059 0.74509804
 0.85490196 0.42745098 0.71372549 0.63529412 0.7372549  0.96862745
 0.77647059 0.92941176 0.1372549  0.95294118 0.85098039 0.8627451
 0.76862745 0.96078431 0.3254902  0.2        0.40392157 0.50196078
 0.24313725 0.09803922 0.14509804 0.15686275 0.87843137 0.61176471
 0.51764706 0.47843137 0.4        0.25490196 0.28627451 0.62352941
 0.52941176 0.50588235 0.27843137 0.49019608 0.82352941 0.30588235
 0.1254902  0.18431373 0.51372549 0.48627451 0.66666667 0.55294118
 0.17647059 0.42352941 0.10196078 0.43921569 0.58823529 0.58431373
 0.88235294 0.36078431 0.49411765 0.84705882 0.52156863 0.22745098
 0.34509804 0.38823529 0.19607843 0.39215686 0.72156863 0.9372549
 0.2745098  0.76078431 0.30196078 0.21568627 0.6        0.25882353
 0.7254902  0.40784314 0.26666667 0.98823529 0.5372549  0.79607843
 0.41568627 0.8        0.29411765 0.2627451  0.83137255 0.31764706
 0.64705882 0.54509804 0.70980392 0.4627451  0.76470588 0.96470588
 0.72941176 0.74117647 0.98039216 0.37254902 0.32941176 0.68235294
 0.55686275 0.86666667 0.28235294 0.56862745 0.90588235 0.78823529
 0.31372549 0.32156863 0.69411765 0.24705882 0.65098039 0.89411765
 0.41176471 0.46666667]",1351,[1.        0.9682829 0.9081599 ... 0.9784396 0.9795808 0.9874365],1350
9,dst_host_srv_count,255,"[0.09803922 0.41960784 0.90588235 0.99607843 0.05490196 0.85882353
 0.01176471 1.         0.14509804 0.96470588 0.88627451 0.99215686
 0.14901961 0.98431373 0.87843137 0.58823529 0.21568627 0.03529412
 0.91764706 0.98823529 0.08627451 0.18431373 0.05882353 0.96078431
 0.00784314 0.01960784 0.07843137 0.03137255 0.07058824 0.02352941
 0.05098039 0.09411765 0.19607843 0.54509804 0.45882353 0.76470588
 0.89019608 0.95294118 0.00392157 0.14117647 0.74117647 0.20784314
 0.60784314 0.0745098  0.87058824 0.53333333 0.5254902  0.02745098
 0.40784314 0.91372549 0.13333333 0.98039216 0.9254902  0.29411765
 0.20392157 0.21176471 0.34901961 0.82352941 0.55686275 0.75686275
 0.27058824 0.23921569 0.1254902  0.36078431 0.39607843 0.85098039
 0.84705882 0.83137255 0.30196078 0.16862745 0.43137255 0.5372549
 0.04313725 0.03921569 0.94117647 0.15686275 0.55294118 0.95686275
 0.29803922 0.96862745 0.09019608 0.10196078 0.64705882 0.2627451
 0.29019608 0.58039216 0.92941176 0.97647059 0.12156863 0.90980392
 0.94901961 0.56078431 0.97254902 0.43529412 0.60392157 0.10588235
 0.75294118 0.42352941 0.37254902 0.57254902 0.80784314 0.43921569
 0.32941176 0.38823529 0.16078431 0.30980392 0.16470588 0.83529412
 0.04705882 0.77647059 0.90196078 0.24313725 0.71764706 0.22745098
 0.18823529 0.49411765 0.26666667 0.0627451  0.80392157 0.11764706
 0.81568627 0.58431373 0.33333333 0.2        0.49803922 0.78823529
 0.54901961 0.89411765 0.83921569 0.35294118 0.37647059 0.76078431
 0.52941176 0.85490196 0.86666667 0.08235294 0.01568627 0.62352941
 0.8745098  0.48235294 0.23137255 0.15294118 0.40392157 0.9372549
 0.56470588 0.17254902 0.61960784 0.70980392 0.25098039 0.61568627
 0.7254902  0.06666667 0.3254902  0.38431373 0.64313725 0.31372549
 0.84313725 0.6745098  0.62745098 0.36470588 0.61176471 0.56862745
 0.22352941 0.10980392 0.31764706 0.72941176 0.82745098 0.63137255
 0.76862745 0.92156863 0.89803922 0.81176471 0.78431373 0.30588235
 0.23529412 0.39215686 0.48627451 0.93333333 0.42745098 0.49019608
 0.59215686 0.19215686 0.21960784 0.1372549  0.45098039 0.12941176
 0.69803922 0.50980392 0.45490196 0.68235294 0.8        0.35686275
 0.63529412 0.34117647 0.41176471 0.11372549 0.38039216 0.4745098
 0.67843137 0.46666667 0.94509804 0.17647059 0.88235294 0.8627451
 0.52156863 0.28627451 0.51764706 0.50588235 0.28235294 0.25490196
 0.65490196 0.34509804 0.66666667 0.70196078 0.73333333 0.79607843
 0.4        0.74509804 0.2745098  0.59607843 0.6627451  0.36862745
 0.47843137 0.24705882 0.81960784 0.57647059 0.54117647 0.65098039
 0.41568627 0.44313725 0.27843137 0.32156863 0.4627451  0.44705882
 0.70588235 0.18039216 0.63921569 0.50196078 0.51372549 0.69411765
 0.71372549 0.47058824 0.74901961 0.65882353 0.3372549  0.25882353
 0.68627451 0.6        0.7372549  0.72156863 0.67058824 0.79215686
 0.78039216 0.69019608 0.77254902]",1,[1.],0
