,Nonfunctional_Feature,Origin-Num_Cat,Origin-Cat,E100-Num_Ad_Cat,E100-Ad_Cat,E100-Num_NotIn_Origin
0,srv_count,12,"[0.00195695 0.00782779 0.01174168 0.00587084 0.00391389 0.73189824
 0.00978474 0.037182   0.0332681  0.0704501  0.01956947 0.12915851]",2469,[0.07085019 0.         0.00068608 ... 0.08380982 0.01864392 0.04172778],2469
1,serror_rate,3,[0.  1.  0.5],1110,[0.01466489 0.         0.05208515 ... 0.01419923 0.00979662 0.03932819],1109
2,srv_serror_rate,3,[0.  1.  0.5],1,[0.],0
3,rerror_rate,5,[0.   1.   0.5  0.67 0.33],2791,[0.0627709  0.01464766 0.02171349 ... 0.03329489 0.02366769 0.00946188],2790
4,srv_rerror_rate,4,[0.   1.   0.5  0.33],1,[0.],0
5,same_srv_rate,8,[1.   0.5  0.75 0.33 0.67 0.8  0.25 0.12],668,"[0.9789077  1.         0.85932696 0.8985599  0.9947109  0.98419344
 0.9353986  0.9161469  0.9917085  0.9817734  0.8443501  0.97659624
 0.8266771  0.975772   0.97130585 0.9053085  0.9784293  0.91825306
 0.83423615 0.98056555 0.95940363 0.9079573  0.95188725 0.86370254
 0.8087218  0.96792626 0.95300674 0.9920335  0.828091   0.92282367
 0.9763069  0.9787823  0.97689426 0.94275403 0.9908984  0.98168755
 0.8874314  0.9172766  0.9712995  0.97309005 0.76308954 0.786006
 0.8695946  0.9023166  0.88769376 0.96412075 0.8182857  0.8100736
 0.98626316 0.9848623  0.98908854 0.97038424 0.95418894 0.993489
 0.79311645 0.9883776  0.96398175 0.94705117 0.77642715 0.99103284
 0.9425421  0.9870796  0.99199486 0.8760289  0.85290504 0.94645095
 0.9615878  0.95748556 0.9135989  0.84463656 0.96623755 0.80169606
 0.9760308  0.93158174 0.9596156  0.93766904 0.8131815  0.9240812
 0.85936964 0.9974296  0.9986963  0.8637645  0.8309351  0.990543
 0.99308527 0.91717565 0.9078256  0.97371995 0.8828572  0.9103327
 0.8714038  0.98792803 0.96134496 0.9671072  0.9322467  0.97310174
 0.9788345  0.9552312  0.8575367  0.999841   0.9778402  0.96421194
 0.92480683 0.74868166 0.96955    0.90571856 0.9521738  0.9348167
 0.8606746  0.8472465  0.81222844 0.956532   0.82101166 0.8340862
 0.8508303  0.8939191  0.7573967  0.9198315  0.9857472  0.8868016
 0.9464172  0.9171895  0.947376   0.9510243  0.9953526  0.988363
 0.8941438  0.9558296  0.97849464 0.9883727  0.9272853  0.8713305
 0.8773205  0.9520613  0.98879933 0.9160836  0.9908141  0.7754761
 0.95480776 0.9346056  0.98738515 0.91834927 0.8489636  0.9299319
 0.9245465  0.9665427  0.96097577 0.9263506  0.78269386 0.9324181
 0.9470482  0.959857   0.9617002  0.77365303 0.6973969  0.76456785
 0.9182726  0.98882043 0.9744084  0.8979976  0.87525356 0.97842824
 0.9459709  0.9842442  0.78579783 0.9467739  0.90287423 0.9281639
 0.94262624 0.97649086 0.97375154 0.9789107  0.8331021  0.96841466
 0.9341377  0.92727137 0.83830905 0.99978745 0.9149493  0.8146864
 0.96009374 0.7949784  0.97146404 0.90862393 0.9463296  0.695745
 0.9292313  0.95094633 0.8377589  0.96321666 0.93160963 0.78120077
 0.99167466 0.99291945 0.9428704  0.9708538  0.9019784  0.88725543
 0.9350494  0.8861512  0.85777116 0.9218559  0.7888975  0.9546735
 0.9983095  0.9387783  0.973047   0.9492754  0.9747081  0.955081
 0.7763264  0.9296597  0.9001472  0.9550619  0.98078525 0.80399954
 0.93274975 0.9517745  0.9846976  0.86316264 0.93856597 0.8587723
 0.93286836 0.9789995  0.8970555  0.96619165 0.9656112  0.92401266
 0.9713304  0.9709195  0.8365917  0.9973402  0.92410564 0.9321251
 0.8456001  0.95914066 0.9861771  0.97327566 0.96337676 0.88728523
 0.918046   0.85197186 0.72351766 0.9055847  0.9791751  0.9753499
 0.96632624 0.83626723 0.9861647  0.9838332  0.88121486 0.83231306
 0.80722785 0.9963188  0.9249866  0.9939109  0.94766176 0.9969245
 0.86670434 0.9782653  0.96136606 0.97421753 0.95733905 0.9627228
 0.93905306 0.83345413 0.8871877  0.98460996 0.9966538  0.96343243
 0.9053639  0.8864392  0.99146676 0.90256786 0.8583008  0.87471807
 0.9725636  0.98830926 0.9472592  0.9054197  0.9784794  0.993868
 0.899194   0.9810784  0.79691076 0.9782108  0.93926287 0.8983233
 0.95841265 0.8951329  0.94277656 0.90002716 0.9746058  0.9888625
 0.97307944 0.97126865 0.82939196 0.99680185 0.87787986 0.99724555
 0.92204523 0.9850811  0.9463247  0.9778286  0.9958534  0.9815109
 0.9488323  0.9440285  0.9152299  0.9519192  0.88699234 0.98122656
 0.8729335  0.9110131  0.96181107 0.83554435 0.9610858  0.9415772
 0.9667529  0.9884949  0.9928459  0.97166824 0.92086565 0.9721198
 0.95440495 0.7467854  0.99746525 0.9604691  0.923427   0.9831214
 0.99971616 0.98965704 0.9345156  0.92916286 0.82719946 0.97822285
 0.9538282  0.98824716 0.9211545  0.9723151  0.9605614  0.99333596
 0.8292464  0.8037971  0.81025696 0.8928952  0.9264718  0.95689714
 0.9397453  0.8928672  0.7584659  0.9876133  0.9648169  0.9309875
 0.89363956 0.9794278  0.9424336  0.877187   0.8996513  0.98204374
 0.96348965 0.9691807  0.7871839  0.966998   0.81524885 0.85026884
 0.9435879  0.8967391  0.8431047  0.92903745 0.8836521  0.847469
 0.9785223  0.9262229  0.96927524 0.93109226 0.9561106  0.9490335
 0.9930763  0.8646753  0.7944375  0.9260156  0.97868454 0.971364
 0.90294635 0.97314894 0.8554205  0.9930717  0.99573946 0.95419765
 0.90681326 0.85255325 0.9585253  0.92924297 0.9709519  0.73971033
 0.9780103  0.9677117  0.9544046  0.9665731  0.9807048  0.8296504
 0.85705817 0.95005167 0.82715714 0.93978655 0.9951247  0.7813252
 0.96646464 0.95950353 0.92176807 0.9409138  0.92477465 0.98983014
 0.961648   0.98109496 0.9756957  0.866428   0.8605505  0.959201
 0.9437996  0.8066026  0.91736794 0.901796   0.9595612  0.931043
 0.92148614 0.91228485 0.9007523  0.98337185 0.9708291  0.9737079
 0.8766073  0.95057034 0.9303764  0.9120389  0.9324902  0.939031
 0.9988297  0.9457722  0.9117596  0.8914193  0.8392427  0.93557453
 0.84478426 0.9714339  0.9915215  0.9158194  0.85085857 0.92476153
 0.96879244 0.87239695 0.92378604 0.89047074 0.94148123 0.8942603
 0.9907526  0.7759005  0.98419523 0.9619428  0.91656065 0.8812077
 0.93299305 0.93501925 0.9798821  0.9865085  0.86554086 0.9026542
 0.8804548  0.9549161  0.90102756 0.91518843 0.98608446 0.75899434
 0.90873754 0.82993233 0.9807757  0.95169723 0.9386511  0.9677621
 0.9432032  0.91255116 0.9281479  0.8730904  0.93074477 0.82460546
 0.94129014 0.9841424  0.9140574  0.9225483  0.9672265  0.99041736
 0.89307964 0.9012934  0.9929271  0.9653311  0.86182964 0.9989228
 0.9215518  0.9276861  0.97034407 0.98607063 0.9295633  0.9852464
 0.9532857  0.9619683  0.8952471  0.97926486 0.9040055  0.9858302
 0.9798255  0.8610805  0.9686856  0.93622637 0.96388245 0.73428535
 0.9165324  0.88695836 0.8766221  0.86957574 0.8356426  0.7481495
 0.9409263  0.9727762  0.95669496 0.9590461  0.9698945  0.9425318
 0.9069849  0.9934813  0.9295254  0.84438956 0.9076115  0.9899008
 0.9371309  0.9835521  0.878991   0.963308   0.88454616 0.99484456
 0.95055795 0.9927621  0.953344   0.9844881  0.9975139  0.8866267
 0.90036035 0.7296791  0.95156634 0.92538905 0.9678838  0.9990213
 0.93205523 0.9709166  0.91165435 0.9901229  0.8957701  0.975325
 0.7850293  0.8147342  0.9604733  0.9966743  0.8630315  0.9039645
 0.8358668  0.9543247  0.90082264 0.98092496 0.86328316 0.9018606
 0.9405408  0.97870874 0.96295285 0.9412885  0.9318733  0.9050864
 0.9274677  0.90086603 0.9411268  0.92712104 0.93772197 0.983878
 0.8455694  0.9504764  0.9282528  0.8965436  0.915434   0.952723
 0.8364415  0.96556354 0.91325223 0.9605379  0.9675274  0.85660064
 0.9859581  0.95074224 0.96796346 0.9720706  0.9751382  0.90621626
 0.8762293  0.9551195  0.856964   0.861151   0.8516898  0.97164893
 0.9670588  0.9469378  0.9808614  0.89630294 0.9962219  0.907017
 0.887866   0.95575404 0.9539758  0.86168265 0.96595633 0.89081705
 0.90952075 0.94684124 0.94397354 0.98695135 0.8465495  0.9743284
 0.9733658  0.98075354 0.8914521  0.9895011  0.93547726 0.93177605
 0.87131405 0.975875   0.91393924 0.9670507  0.86608994 0.9908049
 0.96767426 0.97263885 0.80548847 0.9269589  0.93390775 0.86112714
 0.9571967  0.9480783  0.90933585 0.9730351  0.8939767  0.9656962
 0.99454844 0.8495115  0.9459995  0.86015284 0.9381547  0.911399
 0.9598588  0.9462408  0.8407327  0.88763666 0.8752744  0.99839985
 0.8630798  0.97480595 0.88286996 0.9880738  0.81432426 0.9119264
 0.96913517 0.94255674]",667
6,diff_srv_rate,6,[0.   1.   0.5  0.67 0.4  0.25],2190,[0.03134877 0.         0.05154283 ... 0.01086701 0.03517961 0.00251427],2189
7,srv_diff_host_rate,4,[0.   0.67 1.   0.5 ],2816,[0.1370418  0.19068828 0.17322445 ... 0.1065646  0.15689927 0.13384739],2816
8,dst_host_count,254,"[0.12156863 1.         0.12941176 0.01176471 0.04313725 0.36862745
 0.59215686 0.33333333 0.00392157 0.80784314 0.01568627 0.00784314
 0.10588235 0.02352941 0.27058824 0.36470588 0.61568627 0.83921569
 0.03529412 0.34117647 0.09019608 0.67843137 0.21176471 0.60392157
 0.03137255 0.34901961 0.05490196 0.56078431 0.75686275 0.59607843
 0.73333333 0.23921569 0.41960784 0.81960784 0.01960784 0.08627451
 0.35294118 0.43529412 0.11764706 0.58039216 0.60784314 0.05882353
 0.13333333 0.02745098 0.20392157 0.78039216 0.61960784 0.23137255
 0.98431373 0.45490196 0.63137255 0.97647059 0.03921569 0.82745098
 0.64313725 0.94509804 0.44705882 0.16078431 0.30980392 0.90980392
 0.57254902 0.74901961 0.14901961 0.05098039 0.19215686 0.45882353
 0.39607843 0.38039216 0.43137255 0.65490196 0.94901961 0.56470588
 0.4745098  0.92156863 0.29019608 0.16470588 0.83529412 0.11372549
 0.99215686 0.65882353 0.0745098  0.62745098 0.54901961 0.69803922
 0.08235294 0.22352941 0.25098039 0.17254902 0.45098039 0.29803922
 0.3372549  0.6745098  0.69019608 0.78431373 0.53333333 0.68627451
 0.81568627 0.10980392 0.91372549 0.09411765 0.79215686 0.8745098
 0.91764706 0.87058824 0.18039216 0.71764706 0.9254902  0.63921569
 0.67058824 0.06666667 0.80392157 0.94117647 0.18823529 0.70588235
 0.38431373 0.48235294 0.84313725 0.99607843 0.81176471 0.88627451
 0.16862745 0.35686275 0.49803922 0.44313725 0.21960784 0.54117647
 0.97254902 0.85882353 0.23529412 0.6627451  0.20784314 0.07058824
 0.50980392 0.77254902 0.57647059 0.04705882 0.93333333 0.07843137
 0.90196078 0.75294118 0.95686275 0.89019608 0.15294118 0.70196078
 0.14117647 0.0627451  0.47058824 0.89803922 0.37647059 0.74509804
 0.85490196 0.42745098 0.71372549 0.63529412 0.7372549  0.96862745
 0.77647059 0.92941176 0.1372549  0.95294118 0.85098039 0.8627451
 0.76862745 0.96078431 0.3254902  0.2        0.40392157 0.50196078
 0.24313725 0.09803922 0.14509804 0.15686275 0.87843137 0.61176471
 0.51764706 0.47843137 0.4        0.25490196 0.28627451 0.62352941
 0.52941176 0.50588235 0.27843137 0.49019608 0.82352941 0.30588235
 0.1254902  0.18431373 0.51372549 0.48627451 0.66666667 0.55294118
 0.17647059 0.42352941 0.10196078 0.43921569 0.58823529 0.58431373
 0.88235294 0.36078431 0.49411765 0.84705882 0.52156863 0.22745098
 0.34509804 0.38823529 0.19607843 0.39215686 0.72156863 0.9372549
 0.2745098  0.76078431 0.30196078 0.21568627 0.6        0.25882353
 0.7254902  0.40784314 0.26666667 0.98823529 0.5372549  0.79607843
 0.41568627 0.8        0.29411765 0.2627451  0.83137255 0.31764706
 0.64705882 0.54509804 0.70980392 0.4627451  0.76470588 0.96470588
 0.72941176 0.74117647 0.98039216 0.37254902 0.32941176 0.68235294
 0.55686275 0.86666667 0.28235294 0.56862745 0.90588235 0.78823529
 0.31372549 0.32156863 0.69411765 0.24705882 0.65098039 0.89411765
 0.41176471 0.46666667]",1,[0.],1
9,dst_host_srv_count,255,"[0.09803922 0.41960784 0.90588235 0.99607843 0.05490196 0.85882353
 0.01176471 1.         0.14509804 0.96470588 0.88627451 0.99215686
 0.14901961 0.98431373 0.87843137 0.58823529 0.21568627 0.03529412
 0.91764706 0.98823529 0.08627451 0.18431373 0.05882353 0.96078431
 0.00784314 0.01960784 0.07843137 0.03137255 0.07058824 0.02352941
 0.05098039 0.09411765 0.19607843 0.54509804 0.45882353 0.76470588
 0.89019608 0.95294118 0.00392157 0.14117647 0.74117647 0.20784314
 0.60784314 0.0745098  0.87058824 0.53333333 0.5254902  0.02745098
 0.40784314 0.91372549 0.13333333 0.98039216 0.9254902  0.29411765
 0.20392157 0.21176471 0.34901961 0.82352941 0.55686275 0.75686275
 0.27058824 0.23921569 0.1254902  0.36078431 0.39607843 0.85098039
 0.84705882 0.83137255 0.30196078 0.16862745 0.43137255 0.5372549
 0.04313725 0.03921569 0.94117647 0.15686275 0.55294118 0.95686275
 0.29803922 0.96862745 0.09019608 0.10196078 0.64705882 0.2627451
 0.29019608 0.58039216 0.92941176 0.97647059 0.12156863 0.90980392
 0.94901961 0.56078431 0.97254902 0.43529412 0.60392157 0.10588235
 0.75294118 0.42352941 0.37254902 0.57254902 0.80784314 0.43921569
 0.32941176 0.38823529 0.16078431 0.30980392 0.16470588 0.83529412
 0.04705882 0.77647059 0.90196078 0.24313725 0.71764706 0.22745098
 0.18823529 0.49411765 0.26666667 0.0627451  0.80392157 0.11764706
 0.81568627 0.58431373 0.33333333 0.2        0.49803922 0.78823529
 0.54901961 0.89411765 0.83921569 0.35294118 0.37647059 0.76078431
 0.52941176 0.85490196 0.86666667 0.08235294 0.01568627 0.62352941
 0.8745098  0.48235294 0.23137255 0.15294118 0.40392157 0.9372549
 0.56470588 0.17254902 0.61960784 0.70980392 0.25098039 0.61568627
 0.7254902  0.06666667 0.3254902  0.38431373 0.64313725 0.31372549
 0.84313725 0.6745098  0.62745098 0.36470588 0.61176471 0.56862745
 0.22352941 0.10980392 0.31764706 0.72941176 0.82745098 0.63137255
 0.76862745 0.92156863 0.89803922 0.81176471 0.78431373 0.30588235
 0.23529412 0.39215686 0.48627451 0.93333333 0.42745098 0.49019608
 0.59215686 0.19215686 0.21960784 0.1372549  0.45098039 0.12941176
 0.69803922 0.50980392 0.45490196 0.68235294 0.8        0.35686275
 0.63529412 0.34117647 0.41176471 0.11372549 0.38039216 0.4745098
 0.67843137 0.46666667 0.94509804 0.17647059 0.88235294 0.8627451
 0.52156863 0.28627451 0.51764706 0.50588235 0.28235294 0.25490196
 0.65490196 0.34509804 0.66666667 0.70196078 0.73333333 0.79607843
 0.4        0.74509804 0.2745098  0.59607843 0.6627451  0.36862745
 0.47843137 0.24705882 0.81960784 0.57647059 0.54117647 0.65098039
 0.41568627 0.44313725 0.27843137 0.32156863 0.4627451  0.44705882
 0.70588235 0.18039216 0.63921569 0.50196078 0.51372549 0.69411765
 0.71372549 0.47058824 0.74901961 0.65882353 0.3372549  0.25882353
 0.68627451 0.6        0.7372549  0.72156863 0.67058824 0.79215686
 0.78039216 0.69019608 0.77254902]",2798,[0.6929798 0.9387611 0.873793  ... 0.660583  0.8212464 0.7829304],2797
